symbol,code,name,current,percent,high52w,low52w,marketcapital,amount,volume,pe_ttm
SZ300335,SZ300335,迪森股份,5.79,-7.21,7.18,4.0802,2761901727.0,165251881.25,27755125,54.679
SZ300337,SZ300337,银邦股份,9.62,-5.5,15.5254,8.532,7906910313.0,242432190.64,24712878,650.85
SZ300338,SZ300338,ST开元,4.18,-4.57,6.0,3.33,1682971213.0,68690345.0,15743500,
SZ300339,SZ300339,润和软件,56.86,-2.47,72.89,42.5,45283920419.0,1795647514.14,31153650,351.025
SZ300340,SZ300340,科恒股份,12.89,-8.45,22.77,7.66,3556265475.0,232268326.6,17528700,
SZ300341,SZ300341,麦克奥迪,16.21,-4.7,22.7611,12.9139,8387221547.0,128126513.0,7779400,45.757
SZ300342,SZ300342,天银机电,17.61,-5.48,21.77,12.9491,7484868340.0,359493515.25,20028607,126.016
SZ300343,SZ300343,ST联创,5.48,-6.48,8.26,3.35,5857950772.0,245633943.4,44033081,106.299
SZ300344,SZ300344,ST立方,4.8,-6.07,15.26,3.62,3080190797.0,279930540.92,55651865,
SZ300345,SZ300345,华民股份,6.46,-3.58,10.55,4.08,3747988272.0,112879925.2,17336324,
SZ300346,SZ300346,南大光电,39.17,1.4,45.88,27.6061,27072615891.0,3312643994.17,83539971,88.428
SZ300347,SZ300347,泰格医药,49.59,-2.17,71.9,41.3708,42698281820.0,681276311.4,13673422,69.751
SZ300348,SZ300348,长亮科技,13.5,-2.74,21.46,10.3249,10949015700.0,242440377.28,17801114,3410.381
SZ300349,SZ300349,金卡智能,12.73,-3.92,15.1,10.2928,5325432721.0,116355980.38,8998796,19.775
SZ300350,SZ300350,华鹏飞,7.03,1.15,7.89,4.72,3950946321.0,444568630.67,63285494,
SZ300351,SZ300351,永贵电器,16.38,-4.66,21.72,13.1078,6371148846.0,216816507.46,13022632,66.124
SZ300352,SZ300352,北信源,5.69,-4.69,7.58,3.97,8249499055.0,268523526.18,46387829,
SZ300353,SZ300353,东土科技,20.41,-3.59,28.78,10.18,12549963701.0,334950977.53,16181312,308.982
SZ300354,SZ300354,东华测试,42.04,-4.15,56.3207,31.4651,5814981250.0,140960510.5,3316550,46.862
SZ300355,SZ300355,蒙草生态,4.07,-3.78,7.4631,3.6766,6529265270.0,189431393.0,45912200,109.287
SZ300357,SZ300357,我武生物,30.0,-5.0,35.84,18.1267,15707520000.0,216356121.06,7054539,40.231
SZ300358,SZ300358,楚天科技,9.14,-4.89,12.4,6.0,5933004712.0,271085696.93,29093089,
SZ300359,SZ300359,全通教育,5.56,-2.97,7.45,4.52,3521333826.0,77165726.5,13708000,
SZ300360,SZ300360,炬华科技,16.12,-3.76,21.28,14.0257,8288696471.0,286073276.52,17477400,13.754
SZ300363,SZ300363,博腾股份,22.53,-4.05,29.5,12.31,12243752225.0,238228577.93,10421486,
SZ300364,SZ300364,中文在线,27.28,3.53,37.15,17.41,19873483219.0,2748583063.17,100740339,
SZ300365,SZ300365,恒华科技,6.45,-3.59,7.88,4.68,3869067775.0,132373369.0,20191500,
SZ300366,SZ300366,ST创意,6.45,-4.16,12.2,5.24,3918866168.0,107292321.64,16470380,
SZ300368,SZ300368,汇金股份,14.86,-3.82,20.92,3.88,7860100039.0,578805611.42,38836699,
SZ300369,SZ300369,绿盟科技,8.0,-3.5,9.29,5.83,6484975096.0,240097025.79,29749375,
SZ300370,SZ300370,安控科技,2.8,-4.76,4.81,2.25,4383053430.0,108928696.0,38264300,
SZ300371,SZ300371,汇中股份,12.35,-5.07,15.25,8.135,2485033606.0,55749320.2,4397560,34.036
SZ300373,SZ300373,扬杰科技,62.38,-3.06,82.48,37.3509,33894034953.0,572537556.42,9058648,25.934
SZ300374,SZ300374,中铁装配,17.09,3.08,23.8,13.78,4202641839.0,429242716.5,25015530,
SZ300375,SZ300375,鹏翎股份,5.04,-2.51,6.25,3.6038,3829083643.0,109253739.44,21457374,81.459
SZ300376,SZ300376,ST易事特,5.33,-5.16,6.74,2.7459,12409521737.0,218729511.99,40322357,160.221
SZ300377,SZ300377,赢时胜,16.35,-3.94,41.56,16.35,12278900358.0,395081154.58,23705465,
SZ300378,SZ300378,鼎捷数智,42.4,-1.74,66.93,22.3311,11513797592.0,496417145.07,11598476,73.409
SZ300379,SZ300379,*ST东通,3.01,4.15,21.45,1.95,1679347712.0,746126062.55,234348424,
SZ300380,SZ300380,安硕信息,39.91,-3.9,72.9169,39.85,5525102486.0,123806481.0,3051200,238.161
SZ300381,SZ300381,溢多利,6.91,-4.43,9.2876,6.2674,3393234696.0,67592692.0,9601700,522.239
SZ300382,SZ300382,斯莱克,14.69,1.87,19.96,8.15,9524995912.0,267832614.8,18224173,
SZ300383,SZ300383,光环新网,12.64,-2.02,23.8974,10.5248,22721573586.0,395699071.8,31046600,138.582
SZ300384,SZ300384,三联虹普,15.59,-5.0,23.1707,14.815,4973323261.0,90839594.14,5742623,19.121
SZ300385,SZ300385,雪浪环境,6.11,-5.86,7.4,3.7,2035521645.0,236345911.47,37562888,
SZ300386,SZ300386,飞天诚信,15.96,-4.37,24.64,10.76,6671982240.0,105865875.12,6554204,
SZ300387,SZ300387,富邦科技,8.72,-5.53,11.534,7.2001,2520577197.0,87740590.0,9875000,30.632
SZ300388,SZ300388,节能国祯,9.21,-4.16,10.68,6.0553,6272398948.0,198227549.85,20833273,17.289
SZ300389,SZ300389,艾比森,15.43,-4.28,20.55,8.0845,5695217891.0,67499259.0,4308300,30.891
SZ300390,SZ300390,天华新能,48.93,-19.71,64.99,16.491,40648636057.0,5347832925.49,105919107,
SZ300391,SZ300391,*ST长药,2.74,-3.18,7.5,2.12,959920947.0,299029769.0,101454538,
SZ300393,SZ300393,中来股份,7.48,-11.69,9.43,4.62,8150412638.0,939560063.97,121731531,
SZ300394,SZ300394,天孚通信,148.33,-7.34,224.4244,40.4548,115314099112.0,4604773166.67,30748189,62.93
SZ300395,SZ300395,菲利华,69.55,-7.88,108.59,34.8684,36323716657.0,1522936032.52,21579091,87.888
SZ300396,SZ300396,迪瑞医疗,13.21,-3.93,18.2047,12.0351,3602369127.0,58615986.76,4375156,
SZ300397,SZ300397,天和防务,13.8,0.66,16.5,9.55,7143387081.0,1001382879.32,72538351,
SZ300398,SZ300398,飞凯材料,20.85,-4.45,27.9515,14.2172,11820833483.0,511154830.77,24071459,35.647
SZ300399,SZ300399,天利科技,24.52,-3.5,42.74,15.8676,4845152000.0,117468434.5,4737450,316.372
SZ300400,SZ300400,劲拓股份,19.17,-4.34,28.5,12.0003,4651136586.0,126942025.0,6544600,42.674
SZ300401,SZ300401,花园生物,13.58,-2.09,17.35,11.4915,7380320305.0,134177111.76,9827708,24.454
SZ300402,SZ300402,宝色股份,20.64,-6.39,28.85,13.2383,5093755858.0,358450773.0,17080300,84.438
SZ300403,SZ300403,汉宇集团,13.32,-4.93,23.7085,8.7143,8031960000.0,391173150.63,28785424,35.779
SZ300404,SZ300404,博济医药,9.71,-5.08,13.15,7.6708,3745357688.0,129876823.38,13150713,505.245
SZ300405,SZ300405,科隆股份,6.66,-6.98,8.72,3.64,1893921989.0,276833154.68,40828150,
SZ300406,SZ300406,九强生物,13.17,-1.57,17.0825,11.7276,7721684631.0,57945379.57,4390608,17.886
