symbol,code,name,current,chg,percent,last_close,open,high,low,volume,amount,marketcapital,pe_ttm,high52w,low52w,hasexist,stock_type,crawl_time
SH600234,SH600234,科新发展,11.37,-0.64,-5.33,12.01,11.86,12.04,11.24,4473041,51485572.0,2984863463.0,50.087,13.57,4.64,false,sha,2025-11-22 12:31:53
SH600235,SH600235,民丰特纸,6.58,-0.43,-6.13,7.01,6.97,7.07,6.57,10684600,72002503.0,2311554000.0,77.92,7.69,4.8362,false,sha,2025-11-22 12:31:53
SH600236,SH600236,桂冠电力,6.91,-0.14,-1.99,7.05,7.04,7.08,6.9,8822554,61678135.0,54467230612.0,21.455,7.68,5.7603,false,sha,2025-11-22 12:31:53
SH600237,SH600237,铜峰电子,7.88,-0.5,-5.97,8.38,8.26,8.32,7.88,54707467,438884310.0,4969948741.0,43.733,8.65,5.53,false,sha,2025-11-22 12:31:53
SH600238,SH600238,*ST椰岛,6.47,-0.12,-1.82,6.59,6.54,6.71,6.45,5114600,33582733.0,2899854000.0,0.0,10.88,4.31,false,sha,2025-11-22 12:31:53
SH600239,SH600239,云南城投,2.55,-0.12,-4.49,2.67,2.62,2.68,2.55,44552172,116009668.0,4094501618.0,0.0,3.45,2.01,false,sha,2025-11-22 12:31:53
SH600241,SH600241,时代万恒,9.03,-0.57,-5.94,9.6,9.66,9.66,8.86,13582546,124304614.0,2657548098.0,1178.063,11.7,5.31,false,sha,2025-11-22 12:31:53
SH600243,SH600243,*ST海华,4.78,-0.17,-3.43,4.95,4.95,4.95,4.72,7690200,37112610.0,2097703000.0,0.0,6.65,2.14,false,sha,2025-11-22 12:31:53
SH600246,SH600246,万通发展,10.83,-0.77,-6.64,11.6,11.35,11.35,10.8,72939212,803637356.0,20473167115.0,0.0,16.12,4.63,false,sha,2025-11-22 12:31:53
SH600248,SH600248,陕建股份,3.7,-0.1,-2.63,3.8,3.77,3.78,3.69,28000792,104485557.0,13837020558.0,12.49,4.6895,3.6344,false,sha,2025-11-22 12:31:53
SH600249,SH600249,两面针,6.07,-0.46,-7.04,6.53,6.5,6.51,6.06,23095600,143751495.0,3338500000.0,162.286,7.9384,4.4069,false,sha,2025-11-22 12:31:53
SH600250,SH600250,南京商旅,10.31,-0.17,-1.62,10.48,10.55,11.22,10.3,15702951,166782171.0,3202222892.0,125.465,15.0,7.12,false,sha,2025-11-22 12:31:53
SH600251,SH600251,冠农股份,8.67,-0.51,-5.56,9.18,9.0,9.08,8.67,22967865,203151714.0,6736534365.0,30.657,9.53,6.636,false,sha,2025-11-22 12:31:53
SH600252,SH600252,中恒集团,2.63,-0.13,-4.71,2.76,2.76,2.77,2.63,71821517,193059582.0,8403450613.0,0.0,3.23,2.12,false,sha,2025-11-22 12:31:53
SH600255,SH600255,鑫科材料,3.52,-0.18,-4.86,3.7,3.68,3.68,3.51,61193576,218684812.0,6357637282.0,150.945,5.04,2.22,false,sha,2025-11-22 12:31:53
SH600256,SH600256,广汇能源,5.07,-0.11,-2.12,5.18,5.16,5.16,5.06,81507430,415674544.0,32407455027.0,16.306,6.9339,4.8474,false,sha,2025-11-22 12:31:53
SH600257,SH600257,大湖股份,6.13,-0.27,-4.22,6.4,6.21,6.88,6.01,91546703,582448970.0,2949983962.0,0.0,6.99,4.3,false,sha,2025-11-22 12:31:53
SH600258,SH600258,首旅酒店,15.33,-0.17,-1.1,15.5,15.4,15.69,15.29,16061126,248919348.0,17117525922.0,20.431,16.82,12.2345,false,sha,2025-11-22 12:31:53
SH600259,SH600259,广晟有色,54.3,-2.6,-4.57,56.9,54.6,55.94,54.3,15211976,836853559.0,18268469913.0,174.684,75.26,26.77,false,sha,2025-11-22 12:31:53
SH600261,SH600261,阳光照明,3.3,-0.2,-5.71,3.5,3.48,3.51,3.3,32861200,110802613.0,4405674788.0,24.485,4.04,2.5712,false,sha,2025-11-22 12:31:53
SH600262,SH600262,北方股份,24.5,-1.02,-4.0,25.52,25.41,25.61,24.37,3850900,95440694.0,4165000000.0,16.542,30.88,14.692,false,sha,2025-11-22 12:31:53
SH600265,SH600265,ST景谷,20.01,-0.7,-3.38,20.71,20.51,20.85,20.01,666901,13536416.0,2597298000.0,0.0,28.04,14.36,false,sha,2025-11-22 12:31:53
SH600266,SH600266,城建发展,4.8,-0.14,-2.83,4.94,4.89,4.95,4.8,34376585,167375640.0,9963568834.0,0.0,5.9591,4.1278,false,sha,2025-11-22 12:31:53
